#K-Path     Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band-Index    1
   0.527   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.536   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.544   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.553   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.562   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.570   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.579   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.587   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.596   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.605   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.613   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.622   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.631   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.639   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.648   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.657   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.665   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.674   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.682   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.691   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.700   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.708   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.717   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.726   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.734   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.743   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.752   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.760   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.769   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.778   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.786   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.795   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.803   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.812   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.821   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.829   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.838   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.847   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.855   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.864   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.873   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.881   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.890   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.898   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.907   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.916   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.924   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.933   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.942   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.950   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.959   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.968   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.976   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.985   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.993   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.002   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.011   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.019   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.019   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.032   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.044   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.056   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.068   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.080   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.093   -25.368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.105   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.117   -25.369  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.129   -25.370  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.142   -25.370  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.154   -25.371  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.166   -25.371  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.178   -25.372  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.190   -25.372  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.203   -25.373  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.215   -25.374  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.227   -25.375  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.239   -25.375  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.252   -25.376  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.264   -25.377  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.276   -25.378  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.288   -25.379  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.300   -25.380  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.313   -25.381  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
